,id,holeid,from,to,Au,Pb,Fe,Mo,Cu,S,Zn,label,interval_length
1,A03356,SOLVE003,571,581.0,0.152,1982.0,50860.0,75.4,4.8,1822.0,36.4,proximal,10.0
2,A04764,SOLVE003,581,591.0,0.068,1064.8,57940.0,29.2,3.0,740.4,36.6,proximal,10.0
3,A04626,SOLVE003,591,601.0,0.074,891.6,48620.0,63.0,4.2,820.8,39.6,proximal,10.0
4,A05579,SOLVE003,601,611.0,0.043125,801.25,51025.0,56.0625,4.875,745.6875,32.3125,proximal,10.0
6,A04127,SOLVE004,551,561.0,0.098,2679.0,59280.0,93.0,3.0,2085.6,23.4,proximal,10.0
7,A05248,SOLVE004,561,571.0,0.052,1373.6,44060.0,43.0,3.0,1661.6,24.0,proximal,10.0
8,A04438,SOLVE004,571,581.0,0.082,1398.0,33940.0,45.0,3.0,1676.8,31.4,proximal,10.0
9,A04198,SOLVE004,581,591.0,0.094,1500.0,48100.0,119.8,3.0,1263.2,27.2,proximal,10.0
10,A05532,SOLVE004,591,601.0,0.044,762.6,81280.0,43.0,3.0,3377.0,49.0,proximal,10.0
11,A05394,SOLVE004,601,611.0,0.048,654.8,73800.0,20.6,3.4,1120.2,45.2,proximal,10.0
12,A05795,SOLVE004,611,621.0,0.038,772.8,74720.0,45.6,3.0,1092.2,39.0,proximal,10.0
13,A05617,SOLVE004,621,631.0,0.042,344.0,68140.0,11.0,3.0,719.0,32.4,proximal,10.0
14,A05189,SOLVE004,631,641.0,0.054,847.8,82400.0,40.2,3.0,5229.8,34.6,proximal,10.0
15,A05078,SOLVE004,641,651.0,0.058,739.0,84700.0,13.0,15.4,6796.2,87.0,proximal,10.0
18,A06106,SOLVE004,671,681.0,0.032,269.8,55580.0,11.2,43.6,3724.2,113.2,proximal,10.0
19,A04631,SOLVE004,681,691.0,0.074,1575.4,57000.0,50.2,8.0,1386.6,48.2,proximal,10.0
21,A05079,SOLVE004,701,711.0,0.058,1205.4,55960.0,17.2,3.0,4864.0,27.4,proximal,10.0
23,A07072,SOLVE004,731,741.0,0.016,455.6,63180.0,76.8,3.4,1839.0,35.6,proximal,10.0
24,A06655,SOLVE004,741,751.0,0.022,596.4,66360.0,91.0,3.0,528.8,30.0,proximal,10.0
25,A05665,SOLVE004,751,761.0,0.041,657.2,62920.0,43.0,3.0,443.4,30.6,proximal,10.0
26,A07320,SOLVE004,761,771.0,0.013,283.4,62680.0,15.4,3.0,157.2,23.6,proximal,10.0
27,A05021,SOLVE004,771,781.0,0.06,683.8,61640.0,12.6,3.0,1679.4,35.2,proximal,10.0
28,A05138,SOLVE004,781,791.0,0.056,854.2,48120.0,84.2,3.0,1306.6,47.2,proximal,10.0
29,A06607,SOLVE004,791,801.0,0.023,229.6,49320.0,13.0,3.0,232.6,33.6,proximal,10.0
30,A06996,SOLVE004,801,811.0,0.017,151.4,47620.0,19.8,5.0,389.8,52.6,proximal,10.0
31,A06265,SOLVE004,811,821.0,0.029,400.0,45660.0,9.0,3.0,265.2,30.4,proximal,10.0
32,A06733,SOLVE004,821,831.0,0.021,552.4,46420.0,118.0,3.0,1041.6,35.4,proximal,10.0
33,A06787,SOLVE004,831,841.0,0.02,609.4,45540.0,45.6,64.4,3099.2,137.0,proximal,10.0
34,A07817,SOLVE004,841,847.7,0.008507463,101.5522388,48285.07463,3.805970149,3.0,545.4626866,30.08955224,proximal,6.7000000000000455
35,A03674,SOLVE007,561,571.0,0.126,2328.6,59860.0,76.2,3.0,2782.0,29.6,proximal,10.0
36,A03972,SOLVE007,571,581.0,0.106,2022.4,65900.0,92.0,40.2,3717.2,119.6,proximal,10.0
37,A04584,SOLVE007,581,591.0,0.076,2630.0,51700.0,36.4,3.0,3037.6,29.6,proximal,10.0
38,A04769,SOLVE007,591,601.0,0.068,1457.8,46280.0,79.8,3.0,1546.0,27.6,proximal,10.0
39,A05325,SOLVE007,611,621.0,0.05,1000.2,61160.0,31.8,3.0,2776.0,36.8,proximal,10.0
40,A03530,SOLVE007,621,631.0,0.138,2868.4,47500.0,48.6,6.4,3654.0,43.2,proximal,10.0
42,A04102,SOLVE007,641,651.0,0.1,2110.0,58620.0,102.0,3.0,1763.2,27.2,proximal,10.0
43,A04445,SOLVE007,651,661.0,0.082,1037.0,51660.0,20.4,3.0,1672.4,29.8,proximal,10.0
46,A05763,SOLVE008,211,221.0,0.039,9.4,35160.0,53.4,6.8,33620.0,48.4,distal,10.0
48,A04067,SOLVE008,231,241.0,0.101,20.8,48100.0,14.6,10.8,30240.0,85.8,distal,10.0
49,A07359,SOLVE008,241,251.0,0.013,14.9,16380.0,7.8,2.2,8950.0,53.8,distal,10.0
50,A07459,SOLVE008,251,261.0,0.012,4.7,16470.0,3.0,3.2,10480.0,50.8,distal,10.0
51,A06759,SOLVE008,261,271.0,0.021,6.6,26180.0,2.0,4.8,25330.0,31.6,distal,10.0
52,A06701,SOLVE008,271,281.0,0.022,23.0,19040.0,3.6,5.2,12760.0,90.8,distal,10.0
53,A05958,SOLVE008,281,291.0,0.035,15.0,31920.0,7.6,5.6,26290.0,161.6,distal,10.0
54,A06457,SOLVE008,291,301.0,0.026,13.4,7110.0,13.8,27.2,4190.0,73.8,distal,10.0
55,A05652,SOLVE008,301,311.0,0.042,9.6,5360.0,3.8,62.4,3460.0,123.8,distal,10.0
56,A06280,SOLVE008,311,321.0,0.029,24.2,10510.0,13.0,28.4,9492.0,53.0,distal,10.0
57,A07276,SOLVE008,321,331.0,0.014,9.4,20170.0,5.0,10.0,17080.0,44.0,distal,10.0
58,A06068,SOLVE008,331,341.0,0.033,13.0,7650.0,22.0,3.6,3550.0,31.2,distal,10.0
59,A06150,SOLVE008,341,351.0,0.032,10.6,8370.0,15.8,1.6,4617.0,31.4,distal,10.0
60,A05674,SOLVE008,351,361.0,0.041,8.2,5020.0,29.8,4.4,2553.0,21.4,distal,10.0
61,A06576,SOLVE008,361,371.0,0.024,14.6,15910.0,38.4,1.6,9430.0,48.2,distal,10.0
62,A07108,SOLVE008,371,381.0,0.016,16.4,41660.0,2.6,4.6,36940.0,28.8,distal,10.0
63,A08197,SOLVE008,381,391.0,0.006,10.7,26480.0,2.6,4.0,19430.0,31.4,distal,10.0
64,A06696,SOLVE008,391,401.0,0.022,12.2,4790.0,2.2,40.6,1780.0,62.0,distal,10.0
65,A07195,SOLVE008,401,411.0,0.015,52.8,5150.0,4.2,18.0,1192.0,81.0,distal,10.0
66,A06172,SOLVE008,411,421.0,0.031,6.1,18560.0,2.4,15.0,3180.0,79.2,distal,10.0
67,A05649,SOLVE008,421,431.0,0.042,6.8,23160.0,1.4,4.8,4599.0,65.0,distal,10.0
68,A07350,SOLVE008,431,441.0,0.013,17.8,16290.0,9.8,5.8,3974.0,42.0,distal,10.0
69,A07880,SOLVE008,441,451.0,0.008,15.4,30800.0,3.4,5.0,13240.0,55.4,distal,10.0
70,A07750,SOLVE008,451,461.0,0.009,27.2,24720.0,4.0,7.2,11730.0,64.4,distal,10.0
71,A07878,SOLVE008,461,471.0,0.008,24.8,24340.0,5.2,7.2,11420.0,82.8,proximal,10.0
72,A06066,SOLVE008,471,481.0,0.033,45.8,33960.0,2.8,5.8,5738.0,50.2,proximal,10.0
73,A06277,SOLVE008,481,491.0,0.029,118.4,44820.0,2.4,5.8,16320.0,48.6,proximal,10.0
74,A06139,SOLVE008,491,501.0,0.032,104.0,33260.0,3.6,5.8,2099.0,57.0,proximal,10.0
75,A06447,SOLVE008,501,511.0,0.026,207.9,35200.0,2.6,3.4,1205.0,62.0,proximal,10.0
76,A06062,SOLVE008,511,521.0,0.033,90.4,32220.0,2.4,5.0,4820.0,46.8,proximal,10.0
77,A05918,SOLVE008,521,531.0,0.036,42.2,32460.0,2.4,5.4,5330.0,47.0,proximal,10.0
78,A07445,SOLVE008,531,541.0,0.012,19.2,46380.0,1.4,9.6,33920.0,55.0,proximal,10.0
79,A08494,SOLVE008,541,551.0,0.0025,108.6,55720.0,2.0,7.2,37760.0,54.8,proximal,10.0
80,A07867,SOLVE008,551,561.0,0.008,96.0,59020.0,1.4,7.6,14760.0,65.2,proximal,10.0
81,A07184,SOLVE008,561,571.0,0.015,201.4,59100.0,2.2,6.6,27000.0,45.8,proximal,10.0
82,A07438,SOLVE008,571,581.0,0.012,173.8,57680.0,3.4,27.6,10890.0,32.8,proximal,10.0
83,A08474,SOLVE008,591,601.0,0.0025,109.2,43460.0,4.8,9.2,11190.0,48.6,proximal,10.0
84,A07608,SOLVE008,601,611.0,0.01,195.0,52300.0,17.0,10.4,33360.0,30.8,proximal,10.0
85,A08464,SOLVE008,611,621.0,0.0025,100.0,41740.0,2.6,14.4,13380.0,33.0,proximal,10.0
