Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class
A04812,SOLVE003,561,571,,0.066,1031,61380,138.2,3.6,3586,43.6,A
A03356,SOLVE003,571,581,,0.152,1982,50860,75.4,4.8,1822,36.4,A
A04764,SOLVE003,581,591,,0.068,1064.8,57940,29.2,3,740.4,36.6,A
A04626,SOLVE003,591,601,,0.074,891.6,48620,63,4.2,820.8,39.6,A
A05579,SOLVE003,601,611,,0.043125,801.25,51025,56.0625,4.875,745.6875,32.3125,A
A04316,SOLVE004,541,551,,0.088,2213.6,55400,131.2,3,1963.8,25.4,A
A04127,SOLVE004,551,561,,0.098,2679,59280,93,3,2085.6,23.4,A
A05248,SOLVE004,561,571,,0.052,1373.6,44060,43,3,1661.6,24,A
A04438,SOLVE004,571,581,,0.082,1398,33940,45,3,1676.8,31.4,A
A04198,SOLVE004,581,591,,0.094,1500,48100,119.8,3,1263.2,27.2,A
A05532,SOLVE004,591,601,,0.044,762.6,81280,43,3,3377,49,A
A05394,SOLVE004,601,611,,0.048,654.8,73800,20.6,3.4,1120.2,45.2,A
A05795,SOLVE004,611,621,,0.038,772.8,74720,45.6,3,1092.2,39,A
A05617,SOLVE004,621,631,,0.042,344,68140,11,3,719,32.4,A
A05189,SOLVE004,631,641,,0.054,847.8,82400,40.2,3,5229.8,34.6,A
A05078,SOLVE004,641,651,,0.058,739,84700,13,15.4,6796.2,87,A
A05190,SOLVE004,651,661,,0.054,650.2,71640,186.4,3,4257.8,34.4,A
A04167,SOLVE004,661,671,,0.096,1188.2,74480,171,41.8,6282,201.6,A
A06106,SOLVE004,671,681,,0.032,269.8,55580,11.2,43.6,3724.2,113.2,A
A04631,SOLVE004,681,691,,0.074,1575.4,57000,50.2,8,1386.6,48.2,A
A02342,SOLVE004,691,701,,0.27,4643.2,52880,49.8,3,8598.8,29,A
A05079,SOLVE004,701,711,,0.058,1205.4,55960,17.2,3,4864,27.4,A
A02308,SOLVE004,711,721,,0.274,1967.4,66040,,4.6,2151,26.6,A
A03979,SOLVE004,721,731,,0.106,715,59500,20.2,150.4,2628.8,416.6,A
